month,year,cpi
Ene,1986,0.0000669723299904937
Feb,1986,0.0000697988951685726
Mar,1986,0.0000734678091801361
Abr,1986,0.000076450364931826
May,1986,0.0000790080784024377
Jun,1986,0.0000818184700188061
Jul,1986,0.0000855752337972344
Ago,1986,0.0000889697286254702
Sep,1986,0.0000921445110762822
Oct,1986,0.0000957946002644132
Nov,1986,0.0000992037662790572
Dic,1986,0.000103750292744304
Ene,1987,0.000110566502302084
Feb,1987,0.000116746288565747
Mar,1987,0.000122974949395399
Abr,1987,0.000131080798913815
May,1987,0.00013882464354155
Jun,1987,0.000145329491557626
Jul,1987,0.00015595452051234
Ago,1987,0.000167440458660819
Sep,1987,0.000178276274176397
Oct,1987,0.00018963141031484
Nov,1987,0.000203155387737917
Dic,1987,0.00022255724734468
Ene,1988,0.000250984549089618
Feb,1988,0.00028067629983977
Mar,1988,0.000344107866526393
Abr,1988,0.000405757784553035
May,1988,0.000440300265300685
Jun,1988,0.000479103716337507
Jul,1988,0.000627166618743802
Ago,1988,0.000763299561799986
Sep,1988,0.00163437653321441
Oct,1988,0.00229795416228143
Nov,1988,0.00285879149933488
Dic,1988,0.00405570697949036
Ene,1989,0.00597503367560012
Feb,1989,0.00851393705509279
Mar,1989,0.0120890993178046
Abr,1989,0.0179686632278182
May,1989,0.0231099264142398
Jun,1989,0.0284370587291674
Jul,1989,0.0354272819158071
Ago,1989,0.0443064697447861
Sep,1989,0.0562072057569839
Oct,1989,0.069276001526548
Nov,1989,0.0871768868270439
Dic,1989,0.116600815233402
Ene,1990,0.151403345297198
Feb,1990,0.197626664527731
Mar,1990,0.26214526575316
Abr,1990,0.359921723118116
May,1990,0.477935775650965
Jun,1990,0.681459519637995
Jul,1990,1.11236307701087
Ago,1990,5.52825873546291
Sep,1990,6.28952003953202
Oct,1990,6.89427723698233
Nov,1990,7.30317960733006
Dic,1990,9.03614950057463
Ene,1991,10.6473237267634
Feb,1991,11.6505305814033
Mar,1991,12.5476377539855
Abr,1991,13.2804211814445
May,1991,14.2948920635351
Jun,1991,15.6186027233314
Jul,1991,17.0331812757444
Ago,1991,18.266383849225
Sep,1991,19.2820193868156
Oct,1991,20.0440373714209
Nov,1991,20.8377862827967
Dic,1991,21.6170435047521
Ene,1992,22.382293012663
Feb,1992,23.4432289453984
Mar,1992,25.1882788150836
Abr,1992,25.9874953142896
May,1992,26.8808992423473
Jun,1992,27.845085063747
Jul,1992,28.8132930568705
Ago,1992,29.6276816384144
Sep,1992,30.4038510362016
Oct,1992,31.5100031486644
Nov,1992,32.6254602828831
Dic,1992,33.8812394811266
Ene,1993,35.5230878406964
Feb,1993,36.5652032073332
Mar,1993,38.114267749612
Abr,1993,39.8016331539919
May,1993,41.0087221190126
Jun,1993,41.7538623319859
Jul,1993,42.8975787966936
Ago,1993,43.9845432608512
Sep,1993,44.6974459461645
Oct,1993,45.3715139316294
Nov,1993,46.0992936740696
Dic,1993,47.2574523967154
Ene,1994,48.125583
Feb,1994,49.001802
Mar,1994,50.140815
Abr,1994,50.915464
May,1994,51.279888
Jun,1994,51.864785
Jul,1994,52.32633
Ago,1994,53.128456
Sep,1994,53.402143
Oct,1994,53.555261
Nov,1994,54.209059
Dic,1994,54.52741
Ene,1995,54.730355
Feb,1995,55.352251
Mar,1995,56.111695
Abr,1995,56.664153
May,1995,57.137134
Jun,1995,57.59921
Jul,1995,57.927614
Ago,1995,58.528775
Sep,1995,58.757902
Oct,1995,59.057019
Nov,1995,59.791135
Dic,1995,60.104579
Ene,1996,60.851396
Feb,1996,61.784717
Mar,1996,62.637445
Abr,1996,63.183174
May,1996,63.64283
Jun,1996,63.939072
Jul,1996,64.817595
Ago,1996,65.416732
Sep,1996,65.628764
Oct,1996,66.110843
Nov,1996,66.420225
Dic,1996,67.220958
Ene,1997,67.54437
Feb,1997,67.604439
Mar,1997,68.465734
Abr,1997,68.730867
May,1997,69.249864
Jun,1997,70.002046
Jul,1997,70.582157
Ago,1997,70.7422
Sep,1997,70.949105
Oct,1997,71.056608
Nov,1997,71.111782
Dic,1997,71.565467
Ene,1998,72.214071
Feb,1998,73.105624
Mar,1998,74.069769
Abr,1998,74.522416
May,1998,74.964679
Jun,1998,75.362279
Jul,1998,75.835604
Ago,1998,76.036143
Sep,1998,75.627084
Oct,1998,75.373834
Nov,1998,75.396757
Dic,1998,75.864257
Ene,1999,75.874893
Feb,1999,76.113863
Mar,1999,76.579753
Abr,1999,77.031331
May,1999,77.394279
Jun,1999,77.533286
Jul,1999,77.737381
Ago,1999,77.870391
Sep,1999,78.228577
Oct,1999,78.134101
Nov,1999,78.350827
Dic,1999,78.691265
Ene,2000,78.745802
Feb,2000,79.123884
Mar,2000,79.552148
Abr,2000,79.959134
May,2000,79.972536
Jun,2000,80.023947
Jul,2000,80.437128
Ago,2000,80.813624
Sep,2000,81.262997
Oct,2000,81.452069
Nov,2000,81.504046
Dic,2000,81.629782
Ene,2001,81.782987
Feb,2001,81.983653
Mar,2001,82.400056
Abr,2001,82.056998
May,2001,82.076917
Jun,2001,82.029778
Jul,2001,82.171484
Ago,2001,81.922521
Sep,2001,81.973934
Oct,2001,82.004655
Nov,2001,81.600482
Dic,2001,81.525825
Ene,2002,81.101951
Feb,2002,81.07006
Mar,2002,81.506552
Abr,2002,82.100994
May,2002,82.214967
Jun,2002,82.028109
Jul,2002,82.056252
Ago,2002,82.139041
Sep,2002,82.528014
Oct,2002,83.120534
Nov,2002,82.788574
Dic,2002,82.761629
Ene,2003,82.953156
Feb,2003,83.342061
Mar,2003,84.273642
Abr,2003,84.230783
May,2003,84.203808
Jun,2003,83.805415
Jul,2003,83.680363
Ago,2003,83.691623
Sep,2003,84.159123
Oct,2003,84.200388
Nov,2003,84.341579
Dic,2003,84.817224
Ene,2004,85.273072
Feb,2004,86.19921
Mar,2004,86.596113
Abr,2004,86.576395
May,2004,86.882741
Jun,2004,87.372592
Jul,2004,87.541316
Ago,2004,87.532964
Sep,2004,87.547573
Oct,2004,87.526783
Nov,2004,87.777992
Dic,2004,87.76978
Ene,2005,87.857681
Feb,2005,87.651549
Mar,2005,88.221456
Abr,2005,88.326284
May,2005,88.437867
Jun,2005,88.671115
Jul,2005,88.763875
Ago,2005,88.60445
Sep,2005,88.520915
Oct,2005,88.649076
Nov,2005,88.709397
Dic,2005,89.081289
Ene,2006,89.526347
Feb,2006,90.0172
Mar,2006,90.428725
Abr,2006,90.889918
May,2006,90.410063
Jun,2006,90.290236
Jul,2006,90.136345
Ago,2006,90.261947
Sep,2006,90.28665
Oct,2006,90.326186
Nov,2006,90.071326
Dic,2006,90.094575
Ene,2007,90.103069
Feb,2007,90.336857
Mar,2007,90.651984
Abr,2007,90.813532
May,2007,91.260218
Jun,2007,91.68886
Jul,2007,92.124882
Ago,2007,92.251008
Sep,2007,92.816046
Oct,2007,93.107502
Nov,2007,93.210858
Dic,2007,93.633201
Ene,2008,93.84111
Feb,2008,94.692266
Mar,2008,95.678818
Abr,2008,95.826374
May,2008,96.180444
Jun,2008,96.920651
Jul,2008,97.459018
Ago,2008,98.034499
Sep,2008,98.590552
Oct,2008,99.195039
Nov,2008,99.501575
Dic,2008,99.860003
Ene,2009,99.965634
Feb,2009,99.890873
Mar,2009,100.250699
Abr,2009,100.269758
May,2009,100.226636
Jun,2009,99.88629
Jul,2009,100.072766
Ago,2009,99.865211
Sep,2009,99.778142
Oct,2009,99.900496
Nov,2009,99.78854
Dic,2009,100.104976
Ene,2010,100.401203
Feb,2010,100.725005
Mar,2010,101.007853
Abr,2010,101.033466
May,2010,101.273784
Jun,2010,101.527828
Jul,2010,101.897344
Ago,2010,102.170954
Sep,2010,102.138251
Oct,2010,101.993499
Nov,2010,102.001562
Dic,2010,102.1836
Ene,2011,102.582562
Feb,2011,102.974757
Mar,2011,103.698122
Abr,2011,104.404216
May,2011,104.379466
Jun,2011,104.482951
Jul,2011,105.311451
Ago,2011,105.591388
Sep,2011,105.944258
Oct,2011,106.277824
Nov,2011,106.736331
Dic,2011,107.025489
Ene,2012,106.917049
Feb,2012,107.264432
Mar,2012,108.086095
Abr,2012,108.660616
May,2012,108.703277
Jun,2012,108.663388
Jul,2012,108.761575
Ago,2012,109.31452
Sep,2012,109.907777
Oct,2012,109.728272
Nov,2012,109.57743
Dic,2012,109.860989
Ene,2013,109.987788
Feb,2013,109.891941
Mar,2013,110.887497
Abr,2013,111.167362
May,2013,111.382566
Jun,2013,111.674163
Jul,2013,112.286672
Ago,2013,112.896282
Sep,2013,113.019091
Oct,2013,113.062346
Nov,2013,112.815595
Dic,2013,113.002663
Ene,2014,113.360708
Feb,2014,114.041823
Mar,2014,114.633197
Abr,2014,115.08396
May,2014,115.342934
Jun,2014,115.526534
Jul,2014,116.027125
Ago,2014,115.927783
Sep,2014,116.11385
Oct,2014,116.553757
Nov,2014,116.379555
Dic,2014,116.645938
Ene,2015,116.844581
Feb,2015,117.199168
Mar,2015,118.095348
Abr,2015,118.556518
May,2015,119.22561
Jun,2015,119.621846
Jul,2015,120.161085
Ago,2015,120.614364
Sep,2015,120.647579
Oct,2015,120.819863
Nov,2015,121.23557
Dic,2015,121.775943
Ene,2016,122.229583
Feb,2016,122.442374
Mar,2016,123.174724
Abr,2016,123.188774
May,2016,123.446933
Jun,2016,123.619152
Jul,2016,123.720207
Ago,2016,124.163479
Sep,2016,124.419832
Oct,2016,124.934127
Nov,2016,125.296516
Dic,2016,125.715251
Ene,2017,126.014256
Feb,2017,126.421498
Mar,2017,128.07074
Abr,2017,127.740249
May,2017,127.199476
Jun,2017,126.996976
Jul,2017,127.248793
Ago,2017,128.104192
Sep,2017,128.08399
Oct,2017,127.482962
Nov,2017,127.231518
Dic,2017,127.431083
